genre,year,avg_price,avg_rating
Fiction,2009,15.583333333333334,4.591666666666667
Fiction,2010,9.7,4.615
Fiction,2011,11.619047619047619,4.619047619047619
Fiction,2012,12.285714285714286,4.495238095238095
Fiction,2013,10.708333333333334,4.545833333333333
Fiction,2014,10.172413793103448,4.631034482758621
Fiction,2015,9.352941176470589,4.652941176470588
Fiction,2016,12.631578947368421,4.71578947368421
Fiction,2017,8.833333333333334,4.7375
Fiction,2018,8.761904761904763,4.738095238095238
Fiction,2019,9.35,4.82
Non Fiction,2009,15.23076923076923,4.576923076923077
Non Fiction,2010,16.0,4.52
Non Fiction,2011,17.620689655172413,4.513793103448276
Non Fiction,2012,17.482758620689655,4.558620689655172
Non Fiction,2013,18.192307692307693,4.561538461538461
Non Fiction,2014,20.80952380952381,4.609523809523809
Non Fiction,2015,10.969696969696969,4.6454545454545455
Non Fiction,2016,13.516129032258064,4.65483870967742
Non Fiction,2017,13.73076923076923,4.588461538461538
Non Fiction,2018,11.793103448275861,4.617241379310345
Non Fiction,2019,10.566666666666666,4.6866666666666665
